,cum_err,gender
0,5.794956328259239,male
1,11.079638389619191,male
2,16.484320450979148,male
3,22.4790025123391,male
4,28.84368457369905,male
5,35.61836663505899,male
6,42.84304869641893,male
7,50.20773075777888,male
8,57.65620972770133,male
9,65.05468869762376,male
10,72.12316766754618,male
11,79.05164663746862,male
12,86.60012560739108,male
13,95.4586045773135,male
14,104.11708354723595,male
15,112.23556251715839,male
16,119.60404148708082,male
17,126.68117786441067,male
18,134.18629388956225,male
19,141.82140991471383,male
20,149.25652593986544,male
21,157.94164196501706,male
22,165.89675799016865,male
23,173.68187401532026,male
24,181.53699004047186,male
25,189.5343919836721,male
26,197.81179392687233,male
27,206.20919587007253,male
28,214.52659781327276,male
29,222.58399975647296,male
30,230.42140169967323,male
31,238.1888036428734,male
32,246.11140757760143,male
33,254.0840115123294,male
34,262.05795803965003,male
35,269.490561974378,male
36,276.7642382832739,male
37,283.6685378198537,male
38,290.8690364305077,male
39,298.44953504116154,male
40,308.01062919681897,male
41,317.66146249247635,male
42,325.27255664813373,male
43,332.73195520193923,male
44,340.0190678376962,male
45,347.15618047345305,male
46,354.9626698815259,male
47,363.76016038950854,male
48,372.7082741251752,male
49,381.6505626416301,male
50,391.42285115808494,male
51,401.65513967453984,male
52,412.28742819099466,male
53,422.70105930004206,male
54,433.5246904090895,male
55,445.278321518137,male
56,457.8919526271844,male
57,471.4255837362319,male
58,485.6422010352793,male
59,498.50583214432675,male
60,510.87174917142283,male
61,524.4576661985188,male
62,538.2135832256149,male
63,551.799500252711,male
64,566.005417279807,male
65,581.0313343069031,male
66,596.1572513339993,male
67,611.1931683610953,male
68,625.9790853881913,male
69,641.0850024152874,male
70,656.8909194423834,male
71,672.9968364694795,male
72,689.2327534965757,male
73,705.6586705236717,male
74,722.7345875507679,male
75,739.7805045778639,male
76,756.4064216049599,male
77,773.0523386320558,male
78,790.0582556591521,male
79,806.7141726862482,male
80,823.0000897133441,male
81,838.8560067404402,male
82,854.6606395409274,male
83,870.1665565680236,male
84,885.8924735951196,male
85,902.2383906222158,male
86,918.7243076493116,male
87,935.3502246764076,male
88,952.6061417035039,male
89,968.7520587305999,male
90,984.6579757576959,male
91,1001.283892784792,male
92,1017.819809811888,male
93,1034.265726838984,male
94,1051.0216438660802,male
95,1067.1175608931765,male
96,1083.1434779202723,male
97,1099.5793949473684,male
98,1115.9853119744646,male
99,1132.4212290015605,male
100,1149.0371460286567,male
101,1166.0830630557525,male
102,1184.2889800828489,male
103,1203.4248971099448,male
104,1221.550814137041,male
105,1239.516731164137,male
106,1257.572648191233,male
107,1275.058565218329,male
108,1292.4744822454252,male
109,1309.7503992725212,male
110,1327.2463162996173,male
111,1345.2222333267132,male
112,1363.6081503538094,male
113,1381.4040673809054,male
114,1399.1299844080015,male
115,1416.8259014350976,male
116,1433.9818184621936,male
117,1450.6077354892898,male
118,1466.9236525163858,male
119,1482.9495695434816,male
120,1499.2054865705777,male
121,1515.881403597674,male
122,1532.9173206247701,male
123,1550.2032376518662,male
124,1567.559154678962,male
125,1584.4350717060584,male
126,1600.8709887331543,male
127,1616.9769057602505,male
128,1633.3128227873465,male
129,1649.8387398144425,male
130,1666.2146568415383,male
131,1682.610573868635,male
132,1698.9464908957307,male
133,1715.092407922827,male
134,1730.9983249499232,male
135,1747.064241977019,male
136,1764.1101590041153,male
137,1781.226076031211,male
138,1797.9519930583072,male
139,1814.9279100854033,male
140,1832.1238271124994,male
141,1849.3297441395957,male
142,1866.5356611666916,male
143,1883.9815781937873,male
144,1900.3774952208835,male
145,1916.6234122479796,male
146,1933.349329275076,male
147,1950.0752463021718,male
148,1966.8311633292678,male
149,1983.7970803563637,male
150,2001.6829973834601,male
151,2019.968914410556,male
152,2037.8248314376522,male
153,2055.190748464748,male
154,2072.0966654918443,male
155,2089.3325825189404,male
156,2106.9184995460364,male
157,2124.6244165731327,male
158,2142.3903336002286,male
159,2159.906250627325,male
160,2176.9621676544207,male
161,2193.5480846815167,male
162,2209.524001708613,male
163,2225.5699187357086,male
164,2242.4458357628046,male
165,2259.521752789901,male
166,2276.1976698169965,male
167,2293.0935868440934,male
168,2310.1995038711893,male
169,2326.3654208982857,male
170,2341.841337925381,male
171,2356.9372549524774,male
172,2372.243171979573,male
173,2387.7490890066692,male
174,2403.805006033765,male
175,2421.0509230608614,male
176,2437.6768400879578,male
177,2454.1727571150536,male
178,2470.3786741421495,male
179,2486.2245911692457,male
180,2502.550508196342,male
181,2519.096425223438,male
182,2535.5223422505337,male
183,2551.51825927763,male
184,2567.064176304726,male
185,2582.040093331822,male
186,2597.126010358918,male
187,2612.1219273860142,male
188,2627.19784441311,male
189,2642.3137614402062,male
190,2656.9496784673024,male
191,2671.2855954943984,male
192,2685.9115125214944,male
193,2700.4674295485906,male
194,2714.813346575687,male
195,2729.7892636027827,male
196,2745.3351806298797,male
197,2760.781097656975,male
198,2775.887014684071,male
199,2791.392931711167,male
200,2807.5188487382634,male
201,2823.6347657653596,male
202,2838.8906827924557,male
203,2854.0465998195514,male
204,2868.762516846647,male
205,2883.5584338737435,male
206,2898.9043509008397,male
207,2914.4902679279357,male
208,2929.806184955032,male
209,2944.422101982128,male
210,2958.9180190092243,male
211,2972.9939360363196,male
212,2987.0698530634163,male
213,3001.605770090512,male
214,3015.5116871176083,male
215,3029.1876041447044,male
216,3042.5135211718007,male
217,3055.719438198896,male
218,3069.155355225992,male
219,3082.761272253089,male
220,3096.5871892801847,male
221,3110.4331063072814,male
222,3124.2790233343762,male
223,3137.514940361473,male
224,3149.885931462643,male
225,3161.9069225638127,male
226,3173.723091424569,male
227,3185.4792602853245,male
228,3197.620355072006,male
229,3210.441449858688,male
230,3223.0525446453703,male
231,3235.7436394320516,male
232,3248.3747342187335,male
233,3260.525829005415,male
234,3272.126923792097,male
235,3283.5080185787783,male
236,3295.38911336546,male
237,3307.7202081521414,male
238,3319.4099603462314,male
239,3330.9097125403205,male
240,3343.9342869748234,male
241,3356.6688614093273,male
242,3368.9734358438304,male
243,3381.0780102783337,male
244,3393.4825847128373,male
245,3406.1171591473408,male
246,3418.8117335818442,male
247,3431.316308016348,male
248,3443.200882450851,male
249,3454.6654568853546,male
250,3465.900031319858,male
251,3477.8246057543615,male
252,3490.119180188866,male
253,3501.823754623369,male
254,3513.3083290578725,male
255,3524.5729034923756,male
256,3535.8874779268795,male
257,3547.352052361382,male
258,3559.076626795886,male
259,3570.831201230389,male
260,3582.625775664893,male
261,3594.8403500993963,male
262,3607.3949245339,male
263,3619.5394989684028,male
264,3631.5340734029073,male
265,3643.848647837411,male
266,3656.713222271914,male
267,3669.987796706417,male
268,3683.052371140921,male
269,3696.406945575425,male
270,3709.7415200099276,male
271,3722.6160944444314,male
272,3735.3206688789355,male
273,3747.845243313438,male
274,3760.039817747942,male
275,3771.154392182446,male
276,3781.418966616948,male
277,3791.4648836440456,male
278,3801.6608006711413,male
279,3811.9767176982377,male
280,3822.6626347253336,male
281,3833.1985517524295,male
282,3843.771311372118,male
283,3854.1740709918067,male
284,3864.576830611496,male
285,3875.2295902311844,male
286,3887.142349850873,male
287,3898.685109470561,male
288,3909.5272735452463,male
289,3919.7794376199313,male
290,3929.561601694617,male
291,3939.28692317671,male
292,3948.992244658802,male
293,3958.364420840627,male
294,3967.2565970224528,male
295,3976.458773204278,male
296,3986.050949386103,male
297,3995.6731255679283,male
298,4005.525301749753,male
299,4015.717477931579,male
300,4026.399654113404,male
301,4037.546904369303,male
302,4049.7841546252025,male
303,4061.871404881102,male
304,4073.7686551370016,male
305,4085.8359053929,male
306,4098.173155648799,male
307,4110.720405904699,male
308,4124.462582086525,male
309,4137.36475826835,male
310,4152.093661485446,male
311,4166.492564702542,male
312,4180.426541993712,male
313,4191.847533094882,male
314,4203.118524196052,male
315,4214.405774451951,male
316,4226.053024707851,male
317,4237.71027496375,male
318,4249.357525219649,male
319,4261.229701401475,male
320,4273.3018775833,male
321,4286.314053765125,male
322,4300.88596908695,male
323,4314.208145268775,male
324,4326.990321450601,male
325,4339.062497632426,male
326,4350.704673814252,male
327,4362.236849996077,male
328,4373.749026177901,male
329,4385.341202359726,male
330,4396.793378541552,male
331,4407.845554723377,male
332,4418.577730905203,male
333,4429.839907087028,male
334,4442.485069458853,male
335,4454.297245640679,male
336,4465.659421822504,male
337,4476.621598004329,male
338,4487.673774186154,male
339,4498.835950367979,male
340,4510.123328541333,male
341,4521.810706714686,male
342,4533.858084888038,male
343,4545.390261069864,male
344,4557.232437251689,male
345,4569.273556270313,male
346,4580.374675288937,male
347,4591.572053462291,male
348,4603.019431635643,male
349,4614.836809808996,male
350,4627.254187982349,male
351,4639.601566155703,male
352,4651.248944329056,male
353,4663.17112051088,male
354,4675.753296692706,male
355,4688.135472874531,male
356,4700.7413899016265,male
357,4713.217306928723,male
358,4726.113223955818,male
359,4739.209140982915,male
360,4752.265058010012,male
361,4765.020975037107,male
362,4777.546892064202,male
363,4790.132809091299,male
364,4802.878726118396,male
365,4816.364643145492,male
366,4830.160560172588,male
367,4842.836477199683,male
368,4854.92239422678,male
369,4867.358311253876,male
370,4880.044228280972,male
371,4892.5401453080685,male
372,4904.986062335164,male
373,4917.94197936226,male
374,4930.927896389357,male
375,4943.943813416452,male
376,4957.529730443547,male
377,4971.245647470644,male
378,4985.09156449774,male
