index,temp,mouse
0,37.260934065934066,avg
1,37.27565934065934,avg
2,37.287142857142854,avg
3,37.30214285714286,avg
4,37.32159340659341,avg
5,37.33340659340659,avg
6,37.34521978021978,avg
7,37.35989010989011,avg
8,37.37649733120879,avg
9,37.39620879120879,avg
10,37.40659340659341,avg
11,37.410824175824175,avg
12,37.42335164835165,avg
13,37.42967032967033,avg
14,37.43912087912088,avg
15,37.456043956043956,avg
16,37.46527472527473,avg
17,37.48368131868132,avg
18,37.496483516483515,avg
19,37.510659340659345,avg
20,37.5223076923077,avg
21,37.52620879120879,avg
22,37.536332496043954,avg
23,37.55094788065934,avg
24,37.565013814725276,avg
25,37.565989010989014,avg
26,37.5671978021978,avg
27,37.58318681318682,avg
28,37.60730769230769,avg
29,37.61587912087912,avg
30,37.60911625412088,avg
31,37.604116254120875,avg
32,37.61307692307692,avg
33,37.63269230769231,avg
34,37.64703296703296,avg
35,37.6567032967033,avg
36,37.66323713324176,avg
37,37.67288675126373,avg
38,37.684864773241756,avg
39,37.69338125675824,avg
40,37.69640785978022,avg
41,37.69563862901099,avg
42,37.70911625412088,avg
43,37.718072298076926,avg
44,37.7245008695055,avg
45,37.727907462912086,avg
46,37.73356680357143,avg
47,37.74016021016484,avg
48,37.74696877197802,avg
49,37.757847892857136,avg
50,37.77185425686813,avg
51,37.789157324175825,avg
52,37.81306304807692,avg
53,37.835366115384616,avg
54,37.861085026098905,avg
55,37.88383227884616,avg
56,37.900315795329675,avg
57,37.92234876236263,avg
58,37.93959688461539,avg
59,37.957568542582415,avg
60,37.97619491620879,avg
61,37.99630480631868,avg
62,38.00949161950549,avg
63,38.01504107005495,avg
64,38.02471139972528,avg
65,38.03734876236263,avg
66,38.04432678434066,avg
67,38.048566803571426,avg
68,38.050604395604395,avg
69,38.05324175824176,avg
70,38.06005494505495,avg
71,38.07115384615384,avg
72,38.080219780219785,avg
73,38.09186813186813,avg
74,38.10791208791209,avg
75,38.12247252747253,avg
76,38.1332967032967,avg
77,38.135769230769235,avg
78,38.13994505494505,avg
79,38.14510989010989,avg
80,38.14089006703296,avg
81,38.153032924175825,avg
82,38.16203928818681,avg
83,38.16121511236264,avg
84,38.16780851895604,avg
85,38.186753616758246,avg
86,38.195270100274726,avg
87,38.2021931771978,avg
88,38.20625911126374,avg
89,38.20691845192307,avg
90,38.20840196840659,avg
91,38.21411625412088,avg
92,38.2160942760989,avg
93,38.20922614423076,avg
94,38.20763273763736,avg
95,38.21027472527472,avg
96,38.21071428571429,avg
97,38.2056043956044,avg
98,38.19901098901099,avg
99,38.19879120879121,avg
100,38.1989010989011,avg
101,38.19824175824176,avg
102,38.1945054945055,avg
103,38.189230769230775,avg
104,38.18582417582417,avg
105,38.18769230769231,avg
106,38.186318681318674,avg
107,38.18483516483516,avg
108,38.18796240796703,avg
109,38.1932920782967,avg
110,38.18598438598901,avg
111,38.17625911126373,avg
112,38.181039331043955,avg
113,38.19307229807692,avg
114,38.19537999038461,avg
115,38.19543493543956,avg
116,38.19653383653846,avg
117,38.19796240796703,avg
118,38.204281089285715,avg
119,38.2105997706044,avg
120,38.20444592445055,avg
121,38.195874495879124,avg
122,38.20076460576923,avg
123,38.20757779258241,avg
124,38.20625911126374,avg
125,38.204116254120876,avg
126,38.19862174862637,avg
127,38.187577792582424,avg
128,38.17851185851648,avg
129,38.17070966071429,avg
130,38.16845691346153,avg
131,38.17093406593407,avg
132,38.168516483516484,avg
133,38.16401098901099,avg
134,38.167857142857144,avg
135,38.177032967032964,avg
136,38.17340659340659,avg
137,38.16659340659341,avg
138,38.16494505494506,avg
139,38.14923076923077,avg
140,38.13197802197802,avg
141,38.1256043956044,avg
142,38.13093406593406,avg
143,38.136318681318684,avg
144,38.14565934065934,avg
