,error,gender,time
0,0.001993617468927985,male,0
1,-0.0064679209926104325,male,1
2,-0.018775613300302477,male,2
3,-0.014929459454148305,male,3
4,0.004301309776619287,male,4
5,0.06507054054585218,male,5
6,0.10583977131508195,male,6
7,0.09199361746892812,male,7
8,0.07814746362277429,male,8
9,0.055839771315081506,male,9
10,0.0027628482381596943,male,10
11,-0.018775613300303026,male,11
12,-0.015698690223380014,male,12
13,0.0004551559304672992,male,13
14,-0.028775613300302674,male,14
15,-0.01646792099261063,male,15
16,0.011993617468927088,male,16
17,0.04353207900738946,male,17
18,0.12353207900738994,male,18
19,0.11660900208431221,male,19
20,0.09814746362277359,male,20
21,0.20353207900738932,male,21
22,0.15507054054585068,male,22
23,0.17891669439200525,male,23
24,0.20430130977661995,male,24
25,0.23737823285354354,male,25
26,0.25276284823815914,male,26
27,0.24968592516123558,male,27
28,0.22814746362277452,male,28
29,0.20968592516123644,male,29
30,0.2250705405458515,male,30
31,0.25199361746892746,male,31
32,0.2535320790073892,male,32
33,0.2296859251612363,male,33
34,0.2650705405458512,male,34
35,0.30045515593046773,male,35
36,0.3089166943920051,male,36
37,0.2735320790073902,male,37
38,0.2696859251612371,male,38
39,0.3204551559304654,male,39
40,0.4750705405458504,male,40
41,0.46966585900739016,male,41
42,0.3466090020843129,male,42
43,0.3689166943920046,male,43
44,0.3735320790073894,male,44
45,0.38045515593046714,male,45
46,0.4743013097766209,male,46
47,0.5489166943920032,male,47
48,0.547378232853543,male,48
49,0.585839771315081,male,49
50,0.6404551559304656,male,50
51,0.6681474636227733,male,51
52,0.7389166943920054,male,52
53,0.758916694392004,male,53
54,0.7966090020843131,male,54
55,0.8773782328535435,male,55
56,0.9481474636227745,male,56
57,1.0327628482381581,male,57
58,1.0899156320843133,male,58
59,0.98430130977662,male,59
60,0.9512243866996963,male,60
61,1.0450705405458507,male,61
62,1.0581474636227743,male,62
63,1.0450705405458511,male,63
64,1.0927628482381582,male,64
65,1.155839771315083,male,65
66,1.163532079007389,male,66
67,1.156609002084313,male,67
68,1.1373782328535442,male,68
69,1.1619936174689285,male,69
70,1.215839771315082,male,70
71,1.2389166943920054,male,71
72,1.2489166943920056,male,72
73,1.263532079007391,male,73
74,1.3135320790073899,male,74
75,1.3112243866996964,male,75
76,1.2789166943920056,male,76
77,1.2804551559304662,male,77
78,1.3081474636227743,male,78
79,1.2812243866996968,male,79
80,1.252762848238158,male,80
81,1.2196859251612355,male,81
82,1.2143013097766213,male,82
83,1.1927628482381591,male,83
84,1.209685925161236,male,84
85,1.2573782328535428,male,85
86,1.2681474636227748,male,86
87,1.2789166943920056,male,87
88,1.3273782328535442,male,88
89,1.2419936174689272,male,89
90,1.2235320790073891,male,90
91,1.278916694392006,male,91
92,1.271993617468929,male,92
93,1.265070540545851,male,93
94,1.2889166943920058,male,94
95,1.238147463622774,male,95
96,1.2327628482381594,male,96
97,1.2643013097766205,male,97
98,1.2619936174689281,male,98
99,1.2643013097766205,male,99
100,1.2781474636227743,male,100
101,1.3112243866996969,male,101
102,1.400455155930467,male,102
103,1.4719936174689279,male,103
104,1.3943013097766204,male,104
105,1.3819936174689278,male,105
106,1.388916694392005,male,106
107,1.3450705405458512,male,107
108,1.3396859251612363,male,108
109,1.3289166943920054,male,109
110,1.3458397713150818,male,110
111,1.3827628482381595,male,111
112,1.4143013097766197,male,112
113,1.3689166943920053,male,113
114,1.3635320790073893,male,114
115,1.3612243866996978,male,115
116,1.3196859251612358,male,116
117,1.2789166943920056,male,117
118,1.255070540545851,male,118
119,1.2327628482381587,male,119
120,1.2504551559304669,male,120
121,1.2827628482381581,male,121
122,1.310455155930467,male,122
123,1.329685925161236,male,123
124,1.3350705405458503,male,124
125,1.2981474636227754,male,125
126,1.2643013097766196,male,126
127,1.2389166943920047,male,127
128,1.256609002084311,male,128
129,1.2712243866996973,male,129
130,1.2596859251612358,male,130
131,1.2612243866996982,male,131
132,1.2566090020843117,male,132
133,1.2419936174689283,male,133
134,1.2235320790073887,male,134
135,1.2358397713150817,male,135
136,1.3112243866996975,male,136
137,1.3166090020843124,male,137
138,1.2866090020843122,male,138
139,1.3058397713150816,male,139
140,1.3227628482381584,male,140
141,1.3235320790073895,male,141
142,1.3235320790073906,male,142
143,1.3419936174689275,male,143
144,1.261224386699697,male,144
145,1.2496859251612362,male,145
146,1.2866090020843133,male,146
147,1.2866090020843128,male,147
148,1.288916694392004,male,148
149,1.3050705405458503,male,149
150,1.3758397713150812,male,150
151,1.4066090020843125,male,151
152,1.37353207900739,male,152
153,1.3358397713150831,male,153
154,1.3004551559304667,male,154
155,1.3258397713150818,male,155
156,1.3527628482381595,male,156
157,1.361993617468928,male,157
158,1.3666090020843138,male,158
159,1.347378232853543,male,159
160,1.3119936174689286,male,160
161,1.275839771315082,male,161
162,1.2289166943920056,male,162
163,1.2343013097766204,male,163
164,1.2981474636227743,male,164
165,1.3135320790073892,male,165
166,1.2827628482381592,male,166
167,1.299685925161236,male,167
168,1.3158397713150818,male,168
169,1.2435320790073896,male,169
170,1.1904551559304661,male,170
171,1.1612243866996972,male,171
172,1.177378232853544,male,172
173,1.1927628482381596,male,173
174,1.2350705405458517,male,174
175,1.3266090020843124,male,175
176,1.2789166943920056,male,176
177,1.2689166943920047,male,177
178,1.2466090020843121,male,178
179,1.218916694392005,male,179
180,1.2558397713150822,male,180
181,1.2727628482381586,male,181
182,1.2635320790073894,male,182
183,1.2304551559304664,male,183
184,1.1958397713150815,male,184
185,1.1519936174689283,male,185
186,1.1604551559304672,male,186
